"id" "tipo_local" "cor"
"cpf_311" "urbano" "branca"
"cpf_312" "urbano" "parda"
"cpf_313" "urbano" "preta"
"cpf_314" "urbano" "parda"
"cpf_315" "rural" "parda"
"cpf_316" "urbano" "parda"
"cpf_317" "urbano" "preta"
"cpf_318" "rural" "parda"
"cpf_319" "urbano" "branca"
"cpf_320" "urbano" "branca"
"cpf_321" "urbano" "branca"
"cpf_322" "urbano" "parda"
"cpf_323" "urbano" "parda"
"cpf_324" "urbano" "branca"
"cpf_325" "urbano" "parda"
"cpf_326" "urbano" "branca"
"cpf_327" "urbano" "preta"
"cpf_328" "urbano" "preta"
"cpf_329" "urbano" "branca"
"cpf_330" "rural" "branca"
"cpf_331" "urbano" "preta"
"cpf_332" "urbano" "branca"
"cpf_333" "rural" "branca"
"cpf_334" "urbano" "parda"
"cpf_335" "urbano" "branca"
"cpf_336" "rural" "preta"
"cpf_337" "urbano" "branca"
"cpf_338" "urbano" "branca"
"cpf_339" "urbano" "preta"
"cpf_340" "rural" "parda"
"cpf_341" "urbano" "branca"
"cpf_342" "urbano" "branca"
"cpf_343" "urbano" "branca"
"cpf_344" "urbano" "parda"
"cpf_345" "urbano" "parda"
"cpf_346" "urbano" "parda"
"cpf_347" "urbano" "preta"
"cpf_348" "urbano" "branca"
"cpf_349" "urbano" "parda"
"cpf_350" "urbano" "parda"
"cpf_351" "urbano" "parda"
"cpf_352" "urbano" "parda"
"cpf_353" "urbano" "branca"
"cpf_354" "urbano" "parda"
"cpf_355" "urbano" "parda"
"cpf_356" "urbano" "parda"
"cpf_357" "urbano" "parda"
"cpf_358" "urbano" "parda"
"cpf_359" "rural" "branca"
"cpf_360" "urbano" "branca"
"cpf_361" "urbano" "branca"
"cpf_362" "urbano" "branca"
"cpf_363" "urbano" "branca"
"cpf_364" "urbano" "parda"
"cpf_365" "urbano" "preta"
"cpf_366" "urbano" "branca"
"cpf_367" "rural" "branca"
"cpf_368" "rural" "branca"
"cpf_369" "urbano" "parda"
"cpf_370" "urbano" "branca"
"cpf_371" "urbano" "parda"
"cpf_372" "urbano" "parda"
"cpf_373" "urbano" "branca"
"cpf_374" "rural" "branca"
"cpf_375" "urbano" "parda"
"cpf_376" "urbano" "parda"
"cpf_377" "urbano" "parda"
"cpf_378" "urbano" "parda"
"cpf_379" "urbano" "branca"
"cpf_380" "rural" "branca"
"cpf_381" "urbano" "branca"
"cpf_382" "urbano" "branca"
"cpf_383" "urbano" "parda"
"cpf_384" "rural" "branca"
"cpf_385" "urbano" "parda"
"cpf_386" "urbano" "parda"
"cpf_387" "urbano" "branca"
"cpf_388" "urbano" "parda"
"cpf_389" "urbano" "branca"
"cpf_390" "urbano" "parda"
"cpf_391" "urbano" "parda"
"cpf_392" "urbano" "branca"
"cpf_393" "urbano" "branca"
"cpf_394" "urbano" "branca"
"cpf_395" "urbano" "branca"
"cpf_396" "urbano" "parda"
"cpf_397" "urbano" "parda"
"cpf_398" "urbano" "branca"
"cpf_399" "urbano" "preta"
"cpf_400" "urbano" "parda"
"cpf_401" "urbano" "branca"
"cpf_402" "urbano" "branca"
"cpf_403" "rural" "branca"
"cpf_404" "urbano" "parda"
"cpf_405" "urbano" "parda"
"cpf_406" "rural" "branca"
"cpf_407" "urbano" "parda"
"cpf_408" "urbano" "branca"
"cpf_409" "rural" "branca"
"cpf_410" "urbano" "branca"
"cpf_411" "urbano" "branca"
"cpf_412" "rural" "branca"
"cpf_413" "urbano" "parda"
"cpf_414" "urbano" "parda"
"cpf_415" "urbano" "preta"
"cpf_416" "urbano" "branca"
"cpf_417" "urbano" "parda"
"cpf_418" "urbano" "branca"
"cpf_419" "urbano" "preta"
"cpf_420" "urbano" "parda"
"cpf_421" "urbano" "branca"
"cpf_422" "urbano" "branca"
"cpf_423" "urbano" "parda"
"cpf_424" "rural" "parda"
"cpf_425" "urbano" "branca"
"cpf_426" "rural" "parda"
"cpf_427" "urbano" "parda"
"cpf_428" "urbano" "branca"
"cpf_429" "urbano" "branca"
"cpf_430" "urbano" "branca"
"cpf_431" "urbano" "branca"
"cpf_432" "urbano" "branca"
"cpf_433" "urbano" "branca"
"cpf_434" "urbano" "branca"
"cpf_435" "urbano" "parda"
"cpf_436" "urbano" "parda"
"cpf_437" "urbano" "parda"
"cpf_438" "urbano" "preta"
"cpf_439" "urbano" "parda"
"cpf_440" "urbano" "branca"
"cpf_441" "urbano" "branca"
"cpf_442" "urbano" "parda"
"cpf_443" "urbano" "branca"
"cpf_444" "urbano" "parda"
"cpf_445" "urbano" "branca"
"cpf_446" "urbano" "branca"
"cpf_447" "urbano" "parda"
"cpf_448" "urbano" "branca"
"cpf_449" "urbano" "parda"
"cpf_450" "urbano" "parda"
"cpf_451" "urbano" "parda"
"cpf_452" "urbano" "branca"
"cpf_453" "urbano" "parda"
"cpf_454" "urbano" "branca"
"cpf_455" "urbano" "parda"
"cpf_456" "urbano" "parda"
"cpf_457" "urbano" "preta"
"cpf_458" "rural" "branca"
"cpf_459" "urbano" "parda"
"cpf_460" "urbano" "parda"
"cpf_461" "urbano" "preta"
"cpf_462" "urbano" "parda"
"cpf_463" "urbano" "branca"
"cpf_464" "urbano" "branca"
"cpf_465" "urbano" "branca"
"cpf_466" "urbano" "branca"
"cpf_467" "urbano" "branca"
"cpf_468" "urbano" "branca"
"cpf_469" "urbano" "preta"
"cpf_470" "rural" "branca"
"cpf_471" "urbano" "branca"
"cpf_472" "rural" "parda"
"cpf_473" "rural" "parda"
"cpf_474" "urbano" "branca"
"cpf_475" "urbano" "parda"
"cpf_476" "rural" "parda"
"cpf_477" "urbano" "branca"
"cpf_478" "urbano" "parda"
"cpf_479" "urbano" "branca"
"cpf_480" "urbano" "parda"
"cpf_481" "urbano" "parda"
"cpf_482" "urbano" "parda"
"cpf_483" "urbano" "parda"
"cpf_484" "urbano" "parda"
"cpf_485" "urbano" "parda"
"cpf_486" "urbano" "branca"
"cpf_487" "urbano" "parda"
"cpf_488" "urbano" "parda"
"cpf_489" "urbano" "branca"
"cpf_490" "urbano" "branca"
"cpf_491" "rural" "preta"
"cpf_492" "urbano" "branca"
"cpf_493" "urbano" "parda"
"cpf_494" "rural" "branca"
"cpf_495" "urbano" "parda"
"cpf_496" "urbano" "branca"
"cpf_497" "urbano" "parda"
"cpf_498" "urbano" "branca"
"cpf_499" "rural" "branca"
"cpf_500" "urbano" "branca"
"cpf_501" "rural" "branca"
"cpf_502" "urbano" "preta"
"cpf_503" "urbano" "parda"
"cpf_504" "urbano" "branca"
"cpf_505" "urbano" "branca"
"cpf_506" "urbano" "parda"
"cpf_507" "urbano" "branca"
"cpf_508" "urbano" "branca"
"cpf_509" "urbano" "parda"
"cpf_510" "urbano" "parda"
"cpf_511" "urbano" "branca"
"cpf_512" "urbano" "branca"
"cpf_513" "urbano" "parda"
"cpf_514" "urbano" "branca"
"cpf_515" "rural" "preta"
"cpf_516" "urbano" "branca"
"cpf_517" "urbano" "branca"
"cpf_518" "urbano" "branca"
"cpf_519" "urbano" "branca"
"cpf_520" "rural" "branca"
"cpf_521" "urbano" "parda"
"cpf_522" "urbano" "parda"
"cpf_523" "urbano" "branca"
"cpf_524" "urbano" "branca"
"cpf_525" "urbano" "branca"
"cpf_526" "rural" "branca"
"cpf_527" "rural" "parda"
"cpf_528" "urbano" "parda"
"cpf_529" "urbano" "branca"
"cpf_530" "rural" "parda"
"cpf_531" "urbano" "preta"
"cpf_532" "urbano" "parda"
"cpf_533" "urbano" "parda"
"cpf_534" "urbano" "branca"
"cpf_535" "urbano" "branca"
"cpf_536" "urbano" "parda"
"cpf_537" "urbano" "parda"
"cpf_538" "urbano" "branca"
"cpf_539" "urbano" "branca"
"cpf_540" "urbano" "parda"
"cpf_541" "urbano" "branca"
"cpf_542" "urbano" "parda"
"cpf_543" "urbano" "parda"
"cpf_544" "urbano" "branca"
"cpf_545" "urbano" "parda"
"cpf_546" "urbano" "branca"
"cpf_547" "urbano" "parda"
"cpf_548" "urbano" "parda"
"cpf_549" "urbano" "parda"
"cpf_550" "urbano" "branca"
"cpf_551" "urbano" "branca"
"cpf_552" "urbano" "parda"
"cpf_553" "urbano" "parda"
"cpf_554" "rural" "branca"
"cpf_555" "urbano" "branca"
"cpf_556" "urbano" "branca"
"cpf_557" "urbano" "parda"
"cpf_558" "urbano" "parda"
"cpf_559" "urbano" "preta"
"cpf_560" "urbano" "parda"
"cpf_561" "rural" "branca"
"cpf_562" "urbano" "parda"
"cpf_563" "rural" "branca"
"cpf_564" "rural" "parda"
"cpf_565" "urbano" "parda"
"cpf_566" "urbano" "branca"
"cpf_567" "urbano" "parda"
"cpf_568" "rural" "parda"
"cpf_569" "urbano" "parda"
"cpf_570" "urbano" "parda"
"cpf_571" "urbano" "branca"
"cpf_572" "urbano" "branca"
"cpf_573" "urbano" "parda"
"cpf_574" "urbano" "preta"
"cpf_575" "urbano" "branca"
"cpf_576" "urbano" "parda"
"cpf_577" "urbano" "parda"
"cpf_578" "urbano" "parda"
"cpf_579" "urbano" "branca"
"cpf_580" "urbano" "parda"
"cpf_581" "urbano" "branca"
"cpf_582" "urbano" "parda"
"cpf_583" "urbano" "parda"
"cpf_584" "urbano" "parda"
"cpf_585" "urbano" "branca"
"cpf_586" "urbano" "branca"
"cpf_587" "urbano" "branca"
"cpf_588" "urbano" "parda"
"cpf_589" "urbano" "branca"
"cpf_590" "urbano" "branca"
"cpf_591" "urbano" "branca"
"cpf_592" "rural" "parda"
"cpf_593" "urbano" "parda"
"cpf_594" "urbano" "parda"
"cpf_595" "urbano" "branca"
"cpf_596" "rural" "branca"
"cpf_597" "urbano" "parda"
"cpf_598" "urbano" "parda"
"cpf_599" "urbano" "branca"
"cpf_600" "urbano" "parda"
"cpf_601" "urbano" "parda"
"cpf_602" "rural" "parda"
"cpf_603" "urbano" "parda"
"cpf_604" "urbano" "branca"
"cpf_605" "urbano" "branca"
"cpf_606" "urbano" "branca"
"cpf_607" "urbano" "parda"
"cpf_608" "urbano" "branca"
"cpf_609" "rural" "branca"
"cpf_610" "rural" "parda"
"cpf_611" "urbano" "branca"
"cpf_612" "urbano" "parda"
"cpf_613" "urbano" "preta"
"cpf_614" "urbano" "preta"
"cpf_615" "urbano" "branca"
"cpf_616" "urbano" "branca"
"cpf_617" "urbano" "parda"
"cpf_618" "urbano" "parda"
"cpf_619" "urbano" "branca"
"cpf_620" "urbano" "branca"
"cpf_621" "urbano" "branca"
"cpf_622" "urbano" "branca"
"cpf_623" "urbano" "branca"
"cpf_624" "urbano" "parda"
"cpf_625" "rural" "branca"
"cpf_626" "urbano" "branca"
"cpf_627" "urbano" "branca"
"cpf_628" "urbano" "branca"
"cpf_629" "urbano" "parda"
"cpf_630" "rural" "preta"
"cpf_631" "urbano" "parda"
"cpf_632" "urbano" "parda"
"cpf_633" "urbano" "branca"
"cpf_634" "rural" "parda"
"cpf_635" "urbano" "branca"
"cpf_636" "urbano" "branca"
"cpf_637" "urbano" "preta"
"cpf_638" "urbano" "branca"
"cpf_639" "urbano" "branca"
"cpf_640" "rural" "branca"
"cpf_641" "urbano" "preta"
"cpf_642" "urbano" "branca"
"cpf_643" "urbano" "branca"
"cpf_644" "urbano" "branca"
"cpf_645" "urbano" "branca"
"cpf_646" "urbano" "parda"
"cpf_647" "urbano" "parda"
"cpf_648" "urbano" "parda"
"cpf_649" "urbano" "branca"
"cpf_650" "rural" "branca"
"cpf_651" "urbano" "branca"
"cpf_652" "urbano" "branca"
"cpf_653" "urbano" "branca"
"cpf_654" "urbano" "branca"
"cpf_655" "urbano" "parda"
"cpf_656" "urbano" "branca"
"cpf_657" "urbano" "parda"
"cpf_658" "urbano" "parda"
"cpf_659" "urbano" "parda"
"cpf_660" "urbano" "branca"
"cpf_661" "urbano" "branca"
"cpf_662" "urbano" "preta"
"cpf_663" "urbano" "preta"
"cpf_664" "urbano" "parda"
"cpf_665" "urbano" "parda"
"cpf_666" "rural" "parda"
"cpf_667" "urbano" "branca"
"cpf_668" "urbano" "branca"
"cpf_669" "urbano" "branca"
"cpf_670" "urbano" "preta"
"cpf_671" "urbano" "branca"
"cpf_672" "rural" "parda"
"cpf_673" "urbano" "parda"
"cpf_674" "urbano" "parda"
"cpf_675" "rural" "parda"
"cpf_676" "urbano" "branca"
"cpf_677" "urbano" "branca"
"cpf_678" "urbano" "parda"
"cpf_679" "urbano" "parda"
"cpf_680" "urbano" "preta"
"cpf_681" "urbano" "branca"
"cpf_682" "urbano" "parda"
"cpf_683" "urbano" "branca"
"cpf_684" "urbano" "branca"
"cpf_685" "urbano" "parda"
"cpf_686" "urbano" "branca"
"cpf_687" "urbano" "parda"
"cpf_688" "rural" "branca"
"cpf_689" "urbano" "preta"
"cpf_690" "rural" "branca"
"cpf_691" "urbano" "parda"
"cpf_692" "urbano" "branca"
"cpf_693" "urbano" "parda"
"cpf_694" "urbano" "branca"
"cpf_695" "urbano" "parda"
"cpf_696" "urbano" "branca"
"cpf_697" "urbano" "branca"
"cpf_698" "rural" "parda"
"cpf_699" "urbano" "parda"
"cpf_700" "urbano" "parda"
"cpf_701" "rural" "parda"
"cpf_702" "urbano" "branca"
"cpf_703" "urbano" "branca"
"cpf_704" "rural" "parda"
"cpf_705" "urbano" "parda"
"cpf_706" "urbano" "branca"
"cpf_707" "urbano" "branca"
"cpf_708" "urbano" "parda"
"cpf_709" "urbano" "branca"
"cpf_710" "urbano" "branca"
"cpf_711" "urbano" "branca"
"cpf_712" "urbano" "branca"
"cpf_713" "urbano" "branca"
"cpf_714" "rural" "parda"
"cpf_715" "urbano" "branca"
"cpf_716" "urbano" "parda"
"cpf_717" "urbano" "parda"
"cpf_718" "urbano" "parda"
"cpf_719" "urbano" "parda"
"cpf_720" "urbano" "parda"
"cpf_721" "rural" "branca"
"cpf_722" "urbano" "branca"
"cpf_723" "urbano" "branca"
"cpf_724" "urbano" "preta"
"cpf_725" "urbano" "branca"
"cpf_726" "urbano" "parda"
"cpf_727" "urbano" "branca"
"cpf_728" "urbano" "branca"
"cpf_729" "rural" "parda"
"cpf_730" "rural" "branca"
"cpf_731" "urbano" "preta"
"cpf_732" "urbano" "parda"
"cpf_733" "urbano" "parda"
"cpf_734" "urbano" "parda"
"cpf_735" "urbano" "branca"
"cpf_736" "rural" "parda"
"cpf_737" "urbano" "parda"
"cpf_738" "urbano" "parda"
"cpf_739" "urbano" "parda"
"cpf_740" "urbano" "branca"
"cpf_741" "urbano" "branca"
"cpf_742" "urbano" "parda"
"cpf_743" "rural" "parda"
"cpf_744" "urbano" "preta"
"cpf_745" "urbano" "branca"
"cpf_746" "urbano" "parda"
"cpf_747" "urbano" "parda"
"cpf_748" "urbano" "branca"
"cpf_749" "urbano" "branca"
"cpf_750" "urbano" "branca"
"cpf_751" "urbano" "branca"
"cpf_752" "rural" "branca"
"cpf_753" "urbano" "branca"
"cpf_754" "urbano" "branca"
"cpf_755" "urbano" "branca"
"cpf_756" "urbano" "parda"
"cpf_757" "urbano" "branca"
"cpf_758" "urbano" "parda"
"cpf_759" "urbano" "branca"
"cpf_760" "rural" "branca"
"cpf_761" "urbano" "parda"
"cpf_762" "rural" "parda"
"cpf_763" "urbano" "parda"
"cpf_764" "urbano" "branca"
"cpf_765" "urbano" "parda"
"cpf_766" "rural" "branca"
"cpf_767" "rural" "preta"
"cpf_768" "urbano" "preta"
"cpf_769" "urbano" "parda"
"cpf_770" "urbano" "preta"
"cpf_771" "urbano" "branca"
"cpf_772" "urbano" "parda"
"cpf_773" "urbano" "parda"
"cpf_774" "urbano" "branca"
"cpf_775" "urbano" "branca"
"cpf_776" "rural" "preta"
"cpf_777" "urbano" "branca"
"cpf_778" "urbano" "branca"
"cpf_779" "urbano" "parda"
"cpf_780" "urbano" "parda"
"cpf_781" "urbano" "parda"
"cpf_782" "rural" "preta"
"cpf_783" "rural" "branca"
"cpf_784" "urbano" "parda"
"cpf_785" "urbano" "branca"
"cpf_786" "urbano" "branca"
"cpf_787" "rural" "branca"
"cpf_788" "urbano" "parda"
"cpf_789" "urbano" "parda"
"cpf_790" "urbano" "parda"
"cpf_791" "rural" "parda"
"cpf_792" "urbano" "parda"
"cpf_793" "urbano" "parda"
"cpf_794" "urbano" "parda"
"cpf_795" "urbano" "parda"
"cpf_796" "urbano" "branca"
"cpf_797" "urbano" "parda"
"cpf_798" "urbano" "parda"
"cpf_799" "urbano" "parda"
"cpf_800" "urbano" "branca"
"cpf_801" "urbano" "branca"
"cpf_802" "urbano" "branca"
"cpf_803" "urbano" "parda"
"cpf_804" "urbano" "branca"
"cpf_805" "urbano" "branca"
"cpf_806" "urbano" "preta"
"cpf_807" "urbano" "parda"
"cpf_808" "urbano" "parda"
"cpf_809" "urbano" "branca"
"cpf_810" "urbano" "preta"
"cpf_811" "urbano" "parda"
"cpf_812" "urbano" "parda"
"cpf_813" "urbano" "branca"
"cpf_814" "urbano" "parda"
"cpf_815" "urbano" "branca"
"cpf_816" "urbano" "parda"
"cpf_817" "urbano" "branca"
"cpf_818" "rural" "parda"
"cpf_819" "urbano" "branca"
"cpf_820" "urbano" "branca"
"cpf_821" "rural" "branca"
"cpf_822" "urbano" "branca"
"cpf_823" "urbano" "parda"
"cpf_824" "urbano" "preta"
"cpf_825" "urbano" "parda"
"cpf_826" "urbano" "branca"
"cpf_827" "urbano" "branca"
"cpf_828" "urbano" "branca"
"cpf_829" "urbano" "preta"
